step,g_phase_deg,LF_fx,LF_fz,LF_hip,LF_knee,LF_swing,LH_fx,LH_fz,LH_hip,LH_knee,LH_swing,RF_fx,RF_fz,RF_hip,RF_knee,RF_swing,RH_fx,RH_fz,RH_hip,RH_knee,RH_swing
64,115.2,-15.277,23.22,172.7,59.713,1,24.5,0.0,103.681,108.215,0,2.625,0.0,51.158,82.695,0,-19.25,0.0,34.179,76.066,0
65,117.0,-12.852,25.147,172.573,55.335,1,24.062,0.0,104.24,107.815,0,2.188,0.0,50.722,82.733,0,-19.688,0.0,33.958,75.752,0
66,118.8,-10.36,26.815,171.581,51.514,1,23.625,0.0,104.797,107.423,0,1.75,0.0,50.289,82.764,0,-20.125,0.0,33.743,75.43,0
67,120.6,-7.816,28.173,169.614,48.366,1,23.188,0.0,105.351,107.039,0,1.313,0.0,49.859,82.788,0,-20.562,0.0,33.533,75.1,0
68,122.4,-5.232,29.177,166.63,46.009,1,22.75,0.0,105.904,106.663,0,0.875,0.0,49.433,82.805,0,-21.0,0.0,33.328,74.763,0
69,124.2,-2.623,29.792,162.69,44.545,1,22.312,0.0,106.454,106.295,0,0.438,0.0,49.01,82.816,0,-21.438,0.0,33.13,74.418,0
70,126.0,0.0,30.0,157.976,44.049,1,21.875,0.0,107.002,105.934,0,0.0,0.0,48.59,82.819,0,-21.875,0.0,32.936,74.066,0
71,127.8,2.623,29.792,152.765,44.545,1,21.438,0.0,107.548,105.582,0,-0.438,0.0,48.174,82.816,0,-22.312,0.0,32.748,73.705,0
72,129.6,5.232,29.177,147.361,46.009,1,21.0,0.0,108.091,105.237,0,-0.875,0.0,47.762,82.805,0,-22.75,0.0,32.566,73.337,0
73,131.4,7.816,28.173,142.019,48.366,1,20.563,0.0,108.633,104.9,0,-1.312,0.0,47.353,82.788,0,-23.187,0.0,32.39,72.961,0
74,133.2,10.36,26.815,136.905,51.514,1,20.125,0.0,109.173,104.57,0,-1.75,0.0,46.947,82.764,0,-23.625,0.0,32.219,72.577,0
75,135.0,12.852,25.147,132.092,55.335,1,19.688,0.0,109.71,104.248,0,-2.188,0.0,46.546,82.733,0,-24.062,0.0,32.054,72.185,0
76,136.8,15.277,23.22,127.586,59.713,1,19.25,0.0,110.245,103.934,0,-2.625,0.0,46.147,82.695,0,-24.5,0.0,31.896,71.785,0
77,138.6,17.625,21.094,123.36,64.538,1,18.812,0.0,110.778,103.627,0,-3.062,0.0,45.753,82.65,0,-24.938,0.0,31.742,71.377,0
78,140.4,19.88,18.831,119.372,69.706,1,18.375,0.0,111.309,103.327,0,-3.5,0.0,45.362,82.598,0,-25.375,0.0,31.595,70.961,0
79,142.2,22.03,16.493,115.585,75.119,1,17.938,0.0,111.838,103.035,0,-3.938,0.0,44.976,82.539,0,-25.812,0.0,31.454,70.536,0
80,144.0,24.062,14.142,111.971,80.684,1,17.5,0.0,112.365,102.75,0,-4.375,0.0,44.593,82.474,0,-26.25,0.0,31.319,70.103,0
81,145.8,25.963,11.836,108.519,86.307,1,17.063,0.0,112.889,102.473,0,-4.812,0.0,44.214,82.401,0,-26.688,0.0,31.19,69.661,0
82,147.6,27.72,9.628,105.229,91.893,1,16.625,0.0,113.411,102.203,0,-5.25,0.0,43.839,82.322,0,-27.125,0.0,31.068,69.211,0
83,149.4,29.319,7.566,102.117,97.342,1,16.188,0.0,113.932,101.94,0,-5.688,0.0,43.467,82.235,0,-27.562,0.0,30.951,68.752,0
84,151.2,30.748,5.691,99.212,102.542,1,15.75,0.0,114.45,101.684,0,-6.125,0.0,43.1,82.142,0,-28.0,0.0,30.841,68.284,0
85,153.0,31.992,4.037,96.56,107.37,1,15.313,0.0,114.965,101.436,0,-6.562,0.0,42.737,82.041,0,-28.438,0.0,30.737,67.808,0
86,154.8,33.04,2.636,94.218,111.683,1,14.875,0.0,115.479,101.195,0,-7.0,0.0,42.379,81.934,0,-28.875,0.0,30.64,67.322,0
87,156.6,33.878,1.51,92.258,115.324,1,14.438,0.0,115.99,100.961,0,-7.437,0.0,42.024,81.82,0,-29.312,0.0,30.549,66.827,0
88,158.4,34.493,0.683,90.762,118.12,1,14.0,0.0,116.499,100.734,0,-7.875,0.0,41.673,81.699,0,-29.75,0.0,30.465,66.323,0
89,160.2,34.871,0.174,89.813,119.9,1,13.563,0.0,117.006,100.514,0,-8.312,0.0,41.327,81.57,0,-30.188,0.0,30.387,65.809,0
90,162.0,35.0,0.0,89.484,120.518,0,13.125,0.0,117.51,100.302,0,-8.75,0.0,40.985,81.435,0,-30.625,0.0,30.317,65.286,0
91,163.8,34.563,0.0,90.112,119.888,0,12.688,0.0,118.012,100.096,0,-9.187,0.0,40.648,81.293,0,-31.062,0.0,30.253,64.753,0
92,165.6,34.125,0.0,90.736,119.269,0,12.25,0.0,118.512,99.898,0,-9.625,0.0,40.314,81.144,0,-31.5,0.0,30.196,64.21,0
93,167.4,33.688,0.0,91.357,118.662,0,11.813,0.0,119.009,99.707,0,-10.062,0.0,39.986,80.988,0,-31.937,0.0,30.146,63.657,0
94,169.2,33.25,0.0,91.973,118.066,0,11.375,0.0,119.504,99.522,0,-10.5,0.0,39.661,80.825,0,-32.375,0.0,30.103,63.093,0
95,171.0,32.812,0.0,92.586,117.481,0,10.938,0.0,119.996,99.345,0,-10.937,0.0,39.342,80.655,0,-32.812,0.0,30.067,62.519,0
96,172.8,32.375,0.0,93.196,116.907,0,10.5,0.0,120.486,99.175,0,-11.375,0.0,39.026,80.478,0,-33.25,0.0,30.039,61.934,0
97,174.6,31.937,0.0,93.802,116.343,0,10.063,0.0,120.974,99.012,0,-11.813,0.0,38.716,80.293,0,-33.688,0.0,30.019,61.338,0
98,176.4,31.5,0.0,94.405,115.79,0,9.625,0.0,121.458,98.856,0,-12.25,0.0,38.41,80.102,0,-34.125,0.0,30.005,60.731,0
99,178.2,31.062,0.0,95.005,115.247,0,9.188,0.0,121.941,98.707,0,-12.687,0.0,38.108,79.904,0,-34.562,0.0,30.0,60.112,0
100,180.0,30.625,0.0,95.602,114.714,0,8.75,0.0,122.421,98.565,0,-13.125,0.0,37.812,79.698,0,-35.0,0.0,30.003,59.482,0
101,181.8,30.188,0.0,96.196,114.191,0,8.312,0.0,122.898,98.43,0,-13.562,0.0,37.52,79.486,0,-34.871,0.174,29.713,60.1,1
102,183.6,29.75,0.0,96.788,113.677,0,7.875,0.0,123.372,98.301,0,-14.0,0.0,37.233,79.266,0,-34.493,0.683,28.882,61.88,1
103,185.4,29.313,0.0,97.376,113.173,0,7.438,0.0,123.844,98.18,0,-14.437,0.0,36.951,79.039,0,-33.878,1.51,27.582,64.676,1
104,187.2,28.875,0.0,97.962,112.678,0,7.0,0.0,124.313,98.066,0,-14.875,0.0,36.674,78.805,0,-33.04,2.636,25.901,68.317,1
105,189.0,28.438,0.0,98.545,112.192,0,6.562,0.0,124.779,97.959,0,-15.312,0.0,36.401,78.564,0,-31.992,4.037,23.929,72.63,1
106,190.8,28.0,0.0,99.125,111.716,0,6.125,0.0,125.242,97.858,0,-15.75,0.0,36.134,78.316,0,-30.747,5.691,21.754,77.458,1
107,192.6,27.562,0.0,99.703,111.248,0,5.688,0.0,125.703,97.765,0,-16.188,0.0,35.872,78.06,0,-29.319,7.566,19.458,82.658,1
108,194.4,27.125,0.0,100.279,110.789,0,5.25,0.0,126.16,97.678,0,-16.625,0.0,35.614,77.797,0,-27.72,9.628,17.122,88.107,1
109,196.2,26.688,0.0,100.852,110.339,0,4.813,0.0,126.615,97.599,0,-17.062,0.0,35.362,77.527,0,-25.963,11.836,14.826,93.693,1
110,198.0,26.25,0.0,101.422,109.897,0,4.375,0.0,127.066,97.526,0,-17.5,0.0,35.115,77.25,0,-24.062,14.142,12.655,99.316,1
111,199.8,25.812,0.0,101.99,109.464,0,3.937,0.0,127.515,97.461,0,-17.938,0.0,34.873,76.965,0,-22.03,16.493,10.704,104.881,1
112,201.6,25.375,0.0,102.556,109.039,0,3.5,0.0,127.961,97.402,0,-18.375,0.0,34.636,76.673,0,-19.88,18.831,9.078,110.294,1
113,203.4,24.938,0.0,103.12,108.623,0,3.063,0.0,128.403,97.35,0,-18.812,0.0,34.405,76.373,0,-17.625,21.094,7.898,115.462,1
114,205.2,24.5,0.0,103.681,108.215,0,2.625,0.0,128.842,97.305,0,-19.25,0.0,34.179,76.066,0,-15.278,23.22,7.3,120.287,1
115,207.0,24.062,0.0,104.24,107.815,0,2.187,0.0,129.278,97.267,0,-19.688,0.0,33.958,75.752,0,-12.852,25.147,7.427,124.665,1
116,208.8,23.625,0.0,104.797,107.423,0,1.75,0.0,129.711,97.236,0,-20.125,0.0,33.743,75.43,0,-10.36,26.815,8.419,128.486,1
117,210.6,23.187,0.0,105.351,107.039,0,1.313,0.0,130.141,97.212,0,-20.562,0.0,33.533,75.1,0,-7.816,28.173,10.386,131.634,1
118,212.4,22.75,0.0,105.904,106.663,0,0.875,0.0,130.567,97.195,0,-21.0,0.0,33.328,74.763,0,-5.232,29.177,13.37,133.991,1
119,214.2,22.312,0.0,106.454,106.295,0,0.438,0.0,130.99,97.184,0,-21.438,0.0,33.13,74.418,0,-2.623,29.792,17.31,135.455,1
120,216.0,21.875,0.0,107.002,105.934,0,0.0,0.0,131.41,97.181,0,-21.875,0.0,32.936,74.066,0,0.0,30.0,22.024,135.951,1
121,217.8,21.438,0.0,107.548,105.582,0,-0.438,0.0,131.826,97.184,0,-22.312,0.0,32.748,73.705,0,2.623,29.792,27.235,135.455,1
122,219.6,21.0,0.0,108.091,105.237,0,-0.875,0.0,132.238,97.195,0,-22.75,0.0,32.566,73.337,0,5.232,29.177,32.639,133.991,1
123,221.4,20.563,0.0,108.633,104.9,0,-1.312,0.0,132.647,97.212,0,-23.187,0.0,32.39,72.961,0,7.816,28.173,37.981,131.634,1
124,223.2,20.125,0.0,109.173,104.57,0,-1.75,0.0,133.053,97.236,0,-23.625,0.0,32.219,72.577,0,10.36,26.815,43.095,128.486,1
125,225.0,19.688,0.0,109.71,104.248,0,-2.187,0.0,133.454,97.267,0,-24.062,0.0,32.054,72.185,0,12.852,25.147,47.908,124.665,1
126,226.8,19.25,0.0,110.245,103.934,0,-2.625,0.0,133.853,97.305,0,-24.5,0.0,31.896,71.785,0,15.278,23.22,52.414,120.287,1
127,228.6,18.812,0.0,110.778,103.627,0,-3.062,0.0,134.247,97.35,0,-24.938,0.0,31.742,71.377,0,17.625,21.094,56.64,115.462,1
128,230.4,18.375,0.0,111.309,103.327,0,-3.5,0.0,134.638,97.402,0,-25.375,0.0,31.595,70.961,0,19.88,18.831,60.628,110.294,1
129,232.2,17.938,0.0,111.838,103.035,0,-3.938,0.0,135.024,97.461,0,-25.812,0.0,31.454,70.536,0,22.03,16.493,64.415,104.881,1
130,234.0,17.5,0.0,112.365,102.75,0,-4.375,0.0,135.407,97.526,0,-26.25,0.0,31.319,70.103,0,24.062,14.142,68.029,99.316,1
131,235.8,17.063,0.0,112.889,102.473,0,-4.812,0.0,135.786,97.599,0,-26.688,0.0,31.19,69.661,0,25.963,11.836,71.481,93.693,1
